Protein ID,Binding Affinity (kcal/mol),Number of clashes,Strain Energy,Confidence Score,Rank of sdf,_timestamp,_runtime,_step
5sz6_protein_processed,-7.602188177329126,3.0,0.4176327467091383,,5sz6_ligand,1711411953.3327558,24.77548384666443,6
5mnb_protein_processed,-3.840684462015992,1.0,-1.8490098341317207e-11,,5mnb_ligand,1711410866.2269392,8.773636102676392,6
6i15_protein_processed,-8.620834125256875,0.0,1.1550999781423883,,6i15_ligand,1711417348.0014174,44.01528739929199,6
1m21_protein_processed,-10.48142527164475,8.0,4.7077569052259065,,1m21_ligand,1711382347.3163073,45.82965636253357,6
1o3h_protein_processed,-7.519089609357619,13.0,5.197161432282996,,1o3h_ligand,1711382852.3598795,10.308843851089478,3
3gst_protein_processed,-11.741575784762023,8.0,5.596390981145291,,3gst_ligand,1711392636.4736562,31.072776079177856,6
4yyn_protein_processed,-9.809068456199508,4.0,0.2750943134347565,,4yyn_ligand,1711406397.4749644,42.13188648223877,6
6jdi_protein_processed,-10.576146333484983,8.0,1.2741266651604697,,6jdi_ligand,1711417586.5000026,31.25562167167664,6
5w6e_protein_processed,-8.972508016422355,9.0,15.201547344785542,,5w6e_ligand,1711413159.9127233,6.775239229202271,3
6fyl_protein_processed,-10.39355890702628,1.0,1.969510947349704,,6fyl_ligand,1711416409.906618,17.475611209869385,6
4odq_protein_processed,-5.470547722322022,19.0,4.277607577500639,,4odq_ligand,1711403454.426684,5.813262939453125,3
6p87_protein_processed,-7.020924616795832,11.0,5.824433051752706,,6p87_ligand,1711418517.3548274,17.127336502075195,3
6htn_protein_processed,-5.274978861387733,5.0,0.2464384842955809,,6htn_ligand,1711417160.6820018,11.160584926605225,6
2xgs_protein_processed,-7.331172870349754,4.0,-0.2221321733101788,,2xgs_ligand,1711389607.4408052,28.81441020965576,6
4nie_protein_processed,-12.91105240957041,7.0,1.2244784887371625,,4nie_ligand,1711403129.6355815,41.74663972854614,6
4bg6_protein_processed,-8.842346510685758,1.0,16.275655762424364,,4bg6_ligand,1711399057.6518807,90.79638576507568,6
2r59_protein_processed,-13.037470516881754,14.0,5.52372575868408,,2r59_ligand,1711388368.7466214,36.686875343322754,6
4ijh_protein_processed,-7.294529296618415,11.0,3.490155296078271,,4ijh_ligand,1711401247.307229,14.758130073547363,6
4k3r_protein_processed,-5.693871483584611,12.0,4.3300408800169095,,4k3r_ligand,1711401917.743075,68.08706283569336,6
4qg7_protein_processed,-9.944631333328529,1.0,0.0001782768865652,,4qg7_ligand,1711404161.3274498,28.513166904449463,6
5dyw_protein_processed,-10.0715621744227,4.0,0.0748069598297185,,5dyw_ligand,1711408008.0438266,70.20737147331238,6
5il1_protein_processed,-10.234473208918228,2.0,7.369755294043216,,5il1_ligand,1711409477.697188,24.70967102050781,6
3exf_protein_processed,-10.895199460807088,1.0,2.468001669522124,,3exf_ligand,1711391998.2580364,65.81397938728333,6
2j47_protein_processed,-9.627150772986164,1.0,3.036553906916218,,2j47_ligand,1711386848.7748008,28.69761276245117,6
5h1u_protein_processed,-5.014482068270531,1.0,3.3867010516188287,,5h1u_ligand,1711408956.06506,16.044365882873535,6
6ugn_protein_processed,-7.409113310649077,6.0,0.1133735031523167,,6ugn_ligand,1711419308.157328,11.958761930465698,6
4b7z_protein_processed,-7.688842374156763,5.0,4.025666059590549,,4b7z_ligand,1711398836.4633944,25.375454425811768,6
4pce_protein_processed,-7.385792888488927,2.0,12.52303681084588,,4pce_ligand,1711403741.721424,17.232346057891846,6
3sh0_protein_processed,-7.959789779995698,3.0,3.412130552905652,,3sh0_ligand,1711396333.5258627,18.52979159355164,6
6hd4_protein_processed,-8.886231864808202,5.0,12.928132413581665,,6hd4_ligand,1711416989.4772727,36.910608768463135,6
2it4_protein_processed,-2.3575906965384594,2.0,5.277596156945705,,2it4_ligand,1711386778.6442287,11.770411729812622,6
4kc4_protein_processed,-7.822244052397154,4.0,2.256236335540507e-05,,4kc4_ligand,1711401974.7556484,17.688080310821533,6
4fz3_protein_processed,-6.247879825475057,3.0,8.05647584489384,,4fz3_ligand,1711400458.1920884,10.012352466583252,3
6dyu_protein_processed,-12.612415681449797,7.0,2.2029414432569467,,6dyu_ligand,1711415540.063737,9.89659595489502,3
4ibg_protein_processed,-6.776077734842754,7.0,1.7082268799914715,,4ibg_ligand,1711401198.861658,18.47758412361145,6
3jzf_protein_processed,-11.966450321085704,10.0,7.597439657509099,,3jzf_ligand,1711393436.0006497,23.870444536209103,6
6bsx_protein_processed,-5.097853911957365,2.0,0.6863890371016339,,6bsx_ligand,1711414740.2448545,3.4713785648345947,3
2yme_protein_processed,-7.35565863410178,10.0,3.3574101612898986,,2yme_ligand,1711390095.5258124,24.34823441505432,6
5c84_protein_processed,-9.281450111385436,1.0,1.6382810349122965,,5c84_ligand,1711407475.416228,20.315401077270508,6
4eb9_protein_processed,-19.82174087843908,5.0,10.361512807145758,,4eb9_ligand,1711400112.8380728,205.7444667816162,6
1npv_protein_processed,-14.942381469704936,0.0,6.613787386693716,,1npv_ligand,1711382753.6282206,45.26926159858704,6
4ojq_protein_processed,-4.22973093311151,2.0,5.624783432412997,,4ojq_ligand,1711403506.442205,6.800598859786987,3
4qgg_protein_processed,-10.66126589365325,7.0,1.0944918795498246,,4qgg_ligand,1711404167.110458,29.157663822174072,6
2vtd_protein_processed,-8.135835387235206,5.0,3.5312044340952866,,2vtd_ligand,1711388841.8181083,50.36859130859375,6
4da5_protein_processed,-8.353810059811767,1.0,1.4701294762348098,,4da5_ligand,1711399591.1807976,19.692355632781982,6
6g02_protein_processed,-7.799656152800005,10.0,1.4389890111247574,,6g02_ligand,1711416477.026356,54.25577092170715,6
3olg_protein_processed,-12.633033607601112,7.0,0.9626150406928248,,3olg_ligand,1711395171.6303954,205.82061743736267,6
6czv_protein_processed,-7.460859707486402,3.0,5.030017206204548,,6czv_ligand,1711415168.8525603,11.05508017539978,6
3bf1_protein_processed,-4.605126218881693,14.0,4.577448813143178,,3bf1_ligand,1711390746.5247595,52.45554757118225,6
3nes_protein_processed,-5.821459951190235,6.0,10.672746385888672,,3nes_ligand,1711394587.790445,27.256574153900143,6
6n8y_protein_processed,-8.0819923214099,4.0,3.598521160215185,,6n8y_ligand,1711418052.2299786,16.639423608779907,6
4hwt_protein_processed,-9.262242477667074,5.0,3.5847764146473797,,4hwt_ligand,1711401043.178227,20.409764051437374,3
1xd0_protein_processed,-12.410387525500424,6.0,6.682941846659617,,1xd0_ligand,1711384818.008459,117.55642223358154,6
3sl0_protein_processed,-7.520333188039436,5.0,0.3703869407303677,,3sl0_ligand,1711396424.1813087,47.10314083099365,6
1h61_protein_processed,-7.061995482206116,12.0,4.668347047739019,,1h61_ligand,1711381437.2647474,43.30617332458496,6
4ygf_protein_processed,-5.713149300977311,0.0,5.8074838554203225,,4ygf_ligand,1711406152.6008444,10.979165315628052,6
1xt8_protein_processed,-6.332146130376953,6.0,12.614340591548554,,1xt8_ligand,1711384830.7127478,13.339372873306274,6
4gr8_protein_processed,-9.587021881893929,2.0,-0.1403632489813731,,4gr8_ligand,1711400703.025638,29.86207413673401,6
5exl_protein_processed,-10.974692446525376,8.0,3.290738475138589,,5exl_ligand,1711408388.6762924,17.046180486679077,3
4ciy_protein_processed,-8.215199091270911,7.0,7.906784600841149,,4ciy_ligand,1711399370.8480947,17.488138675689697,6
1sqi_protein_processed,-9.761779612015028,10.0,-2.406176226983966,,1sqi_ligand,1711383854.7645342,46.1700131893158,6
5ia0_protein_processed,-9.910355634278543,12.0,15.436540248576293,,5ia0_ligand,1711409344.672742,19.628127098083496,6
1r6n_protein_processed,-8.158282244881804,6.0,12.5099692926495,,1r6n_ligand,1711383591.0331943,19.960551261901852,6
3ad7_protein_processed,-3.0350965501654885,8.0,0.9433921137742908,,3ad7_ligand,1711390392.3432548,14.829879760742188,6
3uqr_protein_processed,-19.026094325875057,14.0,15.54351431310424,,3uqr_ligand,1711397336.1443732,75.44717621803284,6
2csn_protein_processed,-6.98440176421858,8.0,2.383777040521352,,2csn_ligand,1711385863.5838442,25.565592288970947,6
2gvz_protein_processed,-8.335375043566394,5.0,3.609389060282069,,2gvz_ligand,1711386433.9328055,25.699116468429565,6
2khh_protein_processed,-4.337582150961381,2.0,0.0670338053501211,,2khh_ligand,1711387084.3994703,32.118749380111694,6
1fq5_protein_processed,-14.350067010748573,6.0,6.252205835641775,,1fq5_ligand,1711381066.4442604,56.521764278411865,6
4k43_protein_processed,-6.208351492894251,5.0,5.400879522917975,,4k43_ligand,1711401889.1690416,36.29648160934448,6
3p44_protein_processed,-9.76144199234536,17.0,5.895741213507876,,3p44_ligand,1711395161.0579758,12.684545755386353,3
2f89_protein_processed,-4.61277911912068,6.0,4.689860383362912,,2f89_ligand,1711386076.1804018,27.54615879058838,6
4hzz_protein_processed,-5.486960593994174,13.0,6.279815546420032,,4hzz_ligand,1711401087.862837,18.887184143066406,6
3u3z_protein_processed,-2.3853161523836,7.0,-2.5765208505627584,,3u3z_ligand,1711397066.81412,42.674057960510254,6
5hn7_protein_processed,-5.561173351706407,3.0,2.3707025187119517,,5hn7_ligand,1711409166.1168818,41.79533290863037,6
3u8d_protein_processed,-9.78761387838042,8.0,4.153402399988722,,3u8d_ligand,1711397098.36858,23.935632944107056,6
5o0s_protein_processed,-5.5894979800664695,4.0,0.5303352439873805,,5o0s_ligand,1711411416.1066282,29.911047220230103,6
4u0m_protein_processed,-13.193945285454303,17.0,2.5269282036060403,,4u0m_ligand,1711405018.2779274,32.8065505027771,6
5kh3_protein_processed,-5.813917414146224,10.0,-16.51003115333927,,5kh3_ligand,1711410110.6935196,9.321478605270386,6
6kla_protein_processed,-10.355774109946411,2.0,1.858346010558828,,6kla_ligand,1711417679.3620756,32.81200551986694,6
6g2b_protein_processed,-7.247271503061007,0.0,-5.286861511389404,,6g2b_ligand,1711416477.718293,15.38028883934021,6
4gy5_protein_processed,-10.695723574330996,2.0,5.070192688061415,,4gy5_ligand,1711400802.1600492,57.39690017700195,6
5zhm_protein_processed,-9.81901163837904,2.0,8.659210721329721,,5zhm_ligand,1711413996.8844602,24.884202241897583,6
6gjr_protein_processed,-6.489936332599208,12.0,1.2169860704270905,,6gjr_ligand,1711416711.252679,13.001132249832152,6
6j7l_protein_processed,-11.784742710663329,4.0,3.042398785611965,,6j7l_ligand,1711417541.2063875,19.264577627182007,6
5ly3_protein_processed,-3.3572320154669035,10.0,0.5774417990004883,,5ly3_ligand,1711410698.4165666,89.79792165756226,3
4f7l_protein_processed,-13.024893212308184,5.0,9.08716662549574,,4f7l_ligand,1711400275.29733,38.67460012435913,6
1b3h_protein_processed,-16.341420169418065,15.0,10.96463934259991,,1b3h_ligand,1711380073.0960853,39.323543310165405,6
4iax_protein_processed,-8.03242640677039,8.0,2.521182931464711,,4iax_ligand,1711401216.7726514,47.1944625377655,6
4tv3_protein_processed,-10.696360475381292,3.0,4.278334355266793,,4tv3_ligand,1711404954.790262,40.72233510017395,6
3uyr_protein_processed,-9.646596856213645,4.0,3.090654394503723,,3uyr_ligand,1711397367.9637797,15.627838611602783,3
1gzg_protein_processed,-4.213755368947791,2.0,0.3438257128715136,,1gzg_ligand,1711381337.6296916,13.812671661376951,6
4clj_protein_processed,-10.497742171493655,8.0,4.331909549509447,,4clj_ligand,1711399402.2970428,20.916188955307007,6
2jqk_protein_processed,1.1918149232777435,1.0,4.079622146558464,,2jqk_ligand,1711387005.8439918,13.272127866744995,6
1my8_protein_processed,-2.7480207059163866,5.0,0.8510633133097798,,1my8_ligand,1711382523.141794,16.800814867019653,6
1okx_protein_processed,-10.56691588190114,5.0,3.302306469907485,,1okx_ligand,1711383045.1832144,59.874852418899536,6
