Protein ID,Binding Affinity (kcal/mol),Number of clashes,Strain Energy,Confidence Score,Rank of sdf,_timestamp,_runtime,_step
5sz6_protein_processed,-7.602188177329126,3,0.4176327467091383,null,5sz6_ligand,1711411953.3327558,24.77548384666443,6
5mnb_protein_processed,-3.8406844620159917,1,-1.8490098341317207e-11,null,5mnb_ligand,1711410866.2269392,8.773636102676392,6
6i15_protein_processed,-8.620834125256875,0,1.1550999781423883,null,6i15_ligand,1711417348.0014174,44.01528739929199,6
1m21_protein_processed,-10.48142527164475,8,4.7077569052259065,null,1m21_ligand,1711382347.3163073,45.82965636253357,6
3zmj_protein_processed,8224.953331156863,15,5.005575079365908,null,3zmj_ligand,1711398092.106023,12.555071115493774,6
1o3h_protein_processed,-7.519089609357619,13,5.197161432282996,null,1o3h_ligand,1711382852.3598797,10.308843851089478,3
4pd8_protein_processed,-8.133977675993277,8,null,null,4pd8_ligand,1711403774.4522865,29.59685444831848,3
3gst_protein_processed,-11.741575784762025,8,5.596390981145291,null,3gst_ligand,1711392636.4736562,31.072776079177856,6
4yyn_protein_processed,-9.809068456199507,4,0.27509431343475654,null,4yyn_ligand,1711406397.4749644,42.13188648223877,6
6jdi_protein_processed,-10.576146333484983,8,1.2741266651604697,null,6jdi_ligand,1711417586.5000026,31.255621671676636,6
5w6e_protein_processed,-8.972508016422355,9,15.201547344785542,null,5w6e_ligand,1711413159.9127233,6.7752392292022705,3
6fyl_protein_processed,-10.39355890702628,1,1.969510947349704,null,6fyl_ligand,1711416409.906618,17.475611209869385,6
4odq_protein_processed,-5.470547722322022,19,4.277607577500639,null,4odq_ligand,1711403454.426684,5.813262939453125,3
6p87_protein_processed,-7.020924616795832,11,5.824433051752706,null,6p87_ligand,1711418517.3548274,17.127336502075195,3
6htn_protein_processed,-5.274978861387733,5,0.2464384842955809,null,6htn_ligand,1711417160.6820018,11.160584926605225,6
2xgs_protein_processed,-7.331172870349754,4,-0.22213217331017887,null,2xgs_ligand,1711389607.4408052,28.81441020965576,6
4nie_protein_processed,-12.91105240957041,7,1.2244784887371623,null,4nie_ligand,1711403129.6355817,41.74663972854614,6
4bg6_protein_processed,-8.842346510685758,1,16.275655762424364,null,4bg6_ligand,1711399057.6518807,90.79638576507568,6
2r59_protein_processed,-13.037470516881754,14,5.52372575868408,null,2r59_ligand,1711388368.7466214,36.686875343322754,6
4ijh_protein_processed,-7.294529296618415,11,3.490155296078271,null,4ijh_ligand,1711401247.307229,14.758130073547363,6
4k3r_protein_processed,-5.693871483584611,12,4.3300408800169095,null,4k3r_ligand,1711401917.743075,68.08706283569336,6
4qg7_protein_processed,-9.944631333328527,1,0.00017827688656524288,null,4qg7_ligand,1711404161.3274498,28.513166904449463,6
5dyw_protein_processed,-10.0715621744227,4,0.07480695982971852,null,5dyw_ligand,1711408008.0438266,70.20737147331238,6
5il1_protein_processed,-10.234473208918228,2,7.369755294043216,null,5il1_ligand,1711409477.6971881,24.709671020507812,6
3exf_protein_processed,-10.895199460807088,1,2.468001669522124,null,3exf_ligand,1711391998.2580364,65.81397938728333,6
2j47_protein_processed,-9.627150772986163,1,3.036553906916218,null,2j47_ligand,1711386848.7748008,28.697612762451172,6
5h1u_protein_processed,-5.014482068270531,1,3.3867010516188287,null,5h1u_ligand,1711408956.06506,16.044365882873535,6
6ugn_protein_processed,-7.409113310649077,6,0.11337350315231676,null,6ugn_ligand,1711419308.157328,11.958761930465698,6
4b7z_protein_processed,-7.688842374156763,5,4.025666059590549,null,4b7z_ligand,1711398836.4633944,25.375454425811768,6
4pce_protein_processed,-7.385792888488927,2,12.52303681084588,null,4pce_ligand,1711403741.721424,17.232346057891846,6
3sh0_protein_processed,-7.959789779995698,3,3.4121305529056514,null,3sh0_ligand,1711396333.5258627,18.529791593551636,6
6hd4_protein_processed,-8.886231864808202,5,12.928132413581665,null,6hd4_ligand,1711416989.4772727,36.910608768463135,6
2it4_protein_processed,-2.3575906965384594,2,5.277596156945705,null,2it4_ligand,1711386778.6442287,11.770411729812622,6
4kc4_protein_processed,-7.822244052397154,4,2.256236335540507e-05,null,4kc4_ligand,1711401974.7556484,17.688080310821533,6
4fz3_protein_processed,-6.247879825475057,3,8.05647584489384,null,4fz3_ligand,1711400458.1920884,10.012352466583252,3
4lm0_protein_processed,-4.502725214437235,8,null,null,4lm0_ligand,1711402367.4113073,10.069834232330322,3
6dyu_protein_processed,-12.612415681449795,7,2.2029414432569467,null,6dyu_ligand,1711415540.063737,9.89659595489502,3
5ouh_protein_processed,-9.065402096521652,5,45.25193806880831,null,5ouh_ligand,1711411701.671236,52.23359394073486,6
4ibg_protein_processed,-6.776077734842754,7,1.7082268799914715,null,4ibg_ligand,1711401198.861658,18.47758412361145,6
3jzf_protein_processed,-11.966450321085704,10,7.597439657509099,null,3jzf_ligand,1711393436.0006495,23.870444536209106,6
6bsx_protein_processed,-5.097853911957365,2,0.6863890371016339,null,6bsx_ligand,1711414740.2448545,3.4713785648345947,3
2yme_protein_processed,-7.35565863410178,10,3.3574101612898986,null,2yme_ligand,1711390095.5258124,24.34823441505432,6
6bky_protein_processed,-8.442301024088467,25,53.680240754319385,null,6bky_ligand,1711414714.8006933,80.88724827766418,6
5c84_protein_processed,-9.281450111385437,1,1.6382810349122963,null,5c84_ligand,1711407475.416228,20.315401077270508,6
