Protein ID,Recursion Step Done,Ligand Description,Binding Affinity (kcal/mol),Number of clashes,Strain Energy,Confidence Score,Rank of sdf,_timestamp,_runtime,_step
AF-Q8NBR9-F1-model_v3,1/5,null,-3.0075625011627567,1,6.529679915310652,-1.48,rank1_confidence-1.48,1711926740.1087143,17.959895372390747,8
AF-O43827-F1-model_v3,1/5,null,-1.2504887289495574,49,5.972905611986292,-2.26,rank1_confidence-2.26,1711859938.8395965,22.723544597625732,8
AF-Q2NL68-F1-model_v3,1/5,null,345.3902135949867,34,5.403888156937967,-3.07,rank1_confidence-3.07,1711900178.2441154,24.94733738899231,8
AF-Q9Y3B4-F1-model_v3,1/5,null,-3.695047328057769,26,6.114132006632758,-2.61,rank1_confidence-2.61,1712001457.3690383,15.27120041847229,8
AF-Q6UX71-F1-model_v3,1/5,null,1329.8636194191456,35,6.449329135359974,-1.85,rank1_confidence-1.85,1711912387.4703515,26.856424570083618,8
AF-O14867-F1-model_v3,1/5,null,-1.9974950726763074,12,7.167737261996024,-1.03,rank1_confidence-1.03,1711856828.4477718,38.892783880233765,8
AF-A3KN74-F1-model_v3,1/5,null,1.6931477069007586,15,8.556440593041671,-2.46,rank1_confidence-2.46,1711843184.6066673,13.438026189804077,8
AF-Q8WXF8-F1-model_v3,1/5,null,-3.0721719559078435,0,4.533760179758161,-1.65,rank1_confidence-1.65,1711934473.2497346,19.72033667564392,8
AF-A0A126GWI2-F1-model_v3,1/5,null,231.12036612909307,59,6.323853365340938,-2.04,rank1_confidence-2.04,1711837958.2472491,24.65785002708435,8
AF-Q6ZMI3-F1-model_v3,1/5,null,1372.5228197539423,52,5.317612006574819,-0.34,rank1_confidence-0.34,1711913275.327636,29.004682064056396,8
AF-Q9H4X1-F1-model_v3,1/5,null,-2.3543479411172425,2,7.319526435969877,-2.19,rank1_confidence-2.19,1711957182.0628734,14.749573469161987,8
AF-O60218-F1-model_v3,1/5,null,5.640297522310439,31,6.894209635514571,-1.43,rank1_confidence-1.43,1711860117.5212162,19.869206190109253,8
AF-P49336-F1-model_v3,1/5,null,-5.411426938451555,29,13.1880842227026,-0.78,rank1_confidence-0.78,1711883769.953419,25.320589065551758,8
AF-A6NFK2-F1-model_v3,1/5,null,-1.8576004397749237,1,6.680807062868411,-2.68,rank1_confidence-2.68,1711845267.4068642,17.467079162597656,8
AF-E9PJ23-F1-model_v3,1/5,null,-3.425586003240159,6,6.298448490441018,-1.83,rank1_confidence-1.83,1711853791.6175654,37.78684329986572,8
AF-Q6P3W2-F1-model_v3,1/5,null,-2.689954933965961,5,5.44666031161394,-1.2,rank1_confidence-1.20,1711910670.2516987,14.408756732940674,8
AF-A2AJT9-F1-model_v3,1/5,null,0.8313659814506215,23,8.202300974519346,-2.56,rank1_confidence-2.56,1711842677.6404965,34.36827754974365,8
AF-Q2M2I3-F1-model_v3,1/5,null,-1.5086935827032368,14,8.063249089506698,-2.48,rank1_confidence-2.48,1711900070.1925898,25.804099798202515,8
AF-P12931-F1-model_v3,1/5,null,-4.057617149459296,26,6.638075822561561,-0.72,rank1_confidence-0.72,1711873467.45538,26.997637033462524,8
AF-Q7Z6K3-F1-model_v3,1/5,null,-1.2145142450188025,26,7.231312082471689,-1.99,rank1_confidence-1.99,1711917376.6563168,22.230421781539917,8
AF-Q12797-F1-model_v3,1/5,null,-5.530811073834057,55,9.830558173549562,-0.73,rank1_confidence-0.73,1711892160.380823,35.52754783630371,8
AF-Q96KN8-F1-model_v3,1/5,null,3787.5163652182773,34,7.30408575630716,-2.3,rank1_confidence-2.30,1711942784.2403755,18.993749618530273,8
AF-Q86VL8-F1-model_v3,1/5,null,60.80463671569867,80,10.65105364372495,-1.3,rank1_confidence-1.30,1711918886.7221022,28.67190408706665,8
AF-O94956-F1-model_v3,4/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-O94956-F1-model_v3/rank1_confidence-0.25.sdf,-6.121459688105618,9,11.265604080358173,-0.38,rank1_confidence-0.38,1711864240.9312263,21.8202702999115,8
AF-Q9NY57-F1-model_v3,1/5,null,-6.557391203502856,15,4.597597581426058,-0.92,rank1_confidence-0.92,1711968393.2015626,22.547812700271606,8
AF-Q9Y5I7-F1-model_v3,1/5,null,-3.3480052875580015,11,5.353103206861576,-1.51,rank1_confidence-1.51,1712002690.509851,21.02811098098755,8
AF-Q5TGI0-F1-model_v3,5/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-Q5TGI0-F1-model_v3/rank1_confidence-0.85.sdf,-4.57324152693301,9,10.028448217143918,-1.45,rank1_confidence-1.45,1711906825.5454347,20.91045880317688,8
